Word,Count
SCARY,445
CLOWNS,196
HORROR,59
CREEPY,41
TERRIFYING,25
AWESOME,18
CLASSIC,16
REBOOT,16
KING,14
SUSPENSEFUL,14
EXCITED,12
EXCELLENT,10
PENNYWISE,10
THRILLING,8
EERIE,7
IT,7
INTENSE,6
AMAZING,5
MONSTERS,5
ORIGINAL,5
CHILDHOOD,3
COOL,3
EPIC,3
FRIGHTENING,3
FUNNY,3
NICE,3
UNORIGINAL,3
WOW,3
ACTION,2
ANIMALS,2
BAD,2
BOOK,2
BORING,2
CRAZY,2
DUMB,2
EVIL,2
FUN,2
GOOD,2
HORRIBLE,2
SCI-FI,2
ALIENS,1
AWFUL,1
BIG,1
CHARACTERS,1
CHEESY,1
CHILLING,1
DANGEROUS,1
DARK,1
DEMONIC,1
DISLIKE,1
GIRLS,1
HAIR,1
HISTORICAL,1
INTERESTING,1
LOVE,1
MEH,1
MUST-SEE,1
MYSTERIOUS,1
OKAY,1
PTSD,1
SCIENCE,1
SPACE,1
STORY+,1
STRANGE,1
TECHNOLOGY,1
UNSETTLING,1
WILD,1
